,startClusterID,endClusterID,num,eLongitude,eLatitude,sLongitude,sLatitude
2435,15,103,1.5,40.70338540666667,-73.94764611833334,40.67587495146559,-74.01303344008396
2436,15,104,1.2,40.7279320924396,-74.00014794988016,40.67587495146559,-74.01303344008396
2437,15,105,1.5,40.7604975,-73.922655425,40.67587495146559,-74.01303344008396
2438,15,106,1.4285714285714286,40.718740427767806,-74.00839946232736,40.67587495146559,-74.01303344008396
2439,15,107,1.1428571428571428,40.72687185592593,-74.00984879527867,40.67587495146559,-74.01303344008396
2440,15,109,1.0909090909090908,40.702792818,-74.012860522,40.67587495146559,-74.01303344008396
2441,15,110,2.247311827956989,40.67891318,-73.9677094,40.67587495146559,-74.01303344008396
2442,15,112,3.1223021582733814,40.6863084771803,-73.97663931133644,40.67587495146559,-74.01303344008396
2443,15,113,12.394117647058824,40.68835302142857,-73.99543307142858,40.67587495146559,-74.01303344008396
2444,15,114,6.131736526946108,40.6788923,-74.008712234,40.67587495146559,-74.01303344008396
2445,15,115,1.6730769230769231,40.692561978,-73.977717158,40.67587495146559,-74.01303344008396
2446,15,116,1.1428571428571428,40.688628,-73.910956,40.67587495146559,-74.01303344008396
2447,15,117,1.5294117647058822,40.6930204425,-73.939140385,40.67587495146559,-74.01303344008396
2448,15,119,1.5714285714285714,40.74294967608043,-73.97453284495212,40.67587495146559,-74.01303344008396
2449,15,121,1.0,40.74024842649656,-73.9963458764742,40.67587495146559,-74.01303344008396
2450,15,122,1.2857142857142858,40.71831648529928,-73.93934115005493,40.67587495146559,-74.01303344008396
2451,15,123,1.59375,40.73229350430241,-73.95866505216598,40.67587495146559,-74.01303344008396
2452,15,124,1.125,40.667684935623605,-73.9603903959671,40.67587495146559,-74.01303344008396
2453,15,126,1.0,40.6975155,-73.92113524999999,40.67587495146559,-74.01303344008396
2454,15,127,1.125,40.75606950596991,-73.9263451724245,40.67587495146559,-74.01303344008396
2455,15,130,2.0,40.75785164399939,-73.99100734773864,40.67587495146559,-74.01303344008396
2456,15,131,1.9242424242424243,40.70006931666666,-73.98103138,40.67587495146559,-74.01303344008396
2457,15,134,1.9863013698630136,40.6968787022422,-73.97177594060686,40.67587495146559,-74.01303344008396
